Symbol,name of the company,ISIN number
20MICRONS,20 Microns Limited,INE144J01027
21STCENMGM,21st Century Management Services Limited,INE253B01015
360ONE,360 ONE WAM LIMITED,INE466L01038
3IINFOLTD,3i Infotech Limited,INE748C01038
3MINDIA,3M India Limited,INE470A01017
3PLAND,3P Land Holdings Limited,INE105C01023
5PAISA,5Paisa Capital Limited,INE618L01018
63MOONS,63 moons technologies limited,INE111B01023
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012
AAATECH,AAA Technologies Limited,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010
AAKASH,Aakash Exploration Services Limited,INE087Z01024
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019
AARNAV,Aarnav Fashions Limited,INE750R01016
AARON,Aaron Industries Limited,INE721Z01010
AARTECH,Aartech Solonics Limited,INE01C001026
AARTIDRUGS,Aarti Drugs Limited,INE767A01016
AARTIIND,Aarti Industries Limited,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,INE09EO01013
AARVI,Aarvi Encon Limited,INE754X01016
AAVAS,Aavas Financiers Limited,INE216P01012
ABB,ABB India Limited,INE117A01022
ABBOTINDIA,Abbott India Limited,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013
ABCOTS,A B Cotspin India Limited,INE08PH01015
ABDL,Allied Blenders and Distillers Limited,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011
ABINFRA,A B Infrabuild Limited,INE00YB01025
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019
ABMINTLLTD,ABM International Limited,INE251C01025
ABREL,Aditya Birla Real Estate Limited,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024
ACC,ACC Limited,INE012A01025
ACCELYA,Accelya Solutions India Limited,INE793A01012
ACCURACY,Accuracy Shipping Limited,INE648Z01023
ACE,Action Construction Equipment Limited,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017
ACI,Archean Chemical Industries Limited,INE128X01021
ACL,Andhra Cements Limited,INE666E01020
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010
ADANIENT,Adani Enterprises Limited,INE423A01024
ADANIGREEN,Adani Green Energy Limited,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042
ADANIPOWER,Adani Power Limited,INE814H01029
ADFFOODS,ADF Foods Limited,INE982B01027
ADL,Archidply Decor Limited,INE0CHO01012
ADOR,Ador Welding Limited,INE045A01017
ADROITINFO,Adroit Infotech Limited,INE737B01033
ADSL,Allied Digital Services Limited,INE102I01027
ADVAIT,Advait Energy Transitions Limited,INE0ALI01010
ADVANCE,Advance Agrolife Limited,INE1B0W01010
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026
ADVENTHTL,Advent Hotels International Limited,INE28GN01010
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020
AEGISLOG,Aegis Logistics Limited,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018
AEPL,Artemis Electricals and Projects Limited,INE757T01025
AEQUS,Aequs Limited,INE947N01017
AEROENTER,Aeroflex Enterprises Limited,INE065D01027
AEROFLEX,Aeroflex Industries Limited,INE024001021
AERONEU,Aeroflex Neu Limited,INE035801013
AETHER,Aether Industries Limited,INE0BWX01014
AFCONS,Afcons Infrastructure Limited,INE101I01011
AFFLE,Affle 3i Limited,INE00WC01027
AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013
AFIL,Akme Fintrade (India) Limited,INE916Y01027
AFSL,Abans Financial Services Limited,INE00ZE01026
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029
AGI,AGI Greenpac Limited,INE415A01038
AGIIL,Agi Infra Limited,INE976R01033
